area,page_url,language,review_item,current_status,reviewer,status,notes,reviewed_at
country_landing,/countries/italy/,it,Riferimento TUN 2025 (D.P.R. 12/2025) corretto e completo,approved_dataset,,pending,,
country_landing,/countries/italy/,it,Status badge "Calculator available" + tone ok,delivered_pass1,,pending,,
country_landing,/countries/italy/,it,Wizard CTA "Start Italian compensation simulation" — destinazione corretta,delivered_pass1,,pending,,
country_landing,/countries/italy/,it,Disclaimer in fondo (informativa / non parere / non garanzia),delivered_pass1,,pending,,
country_landing,/countries/italy/,it,JSON-LD LegalService ben formato (5 country),delivered_pass3,,pending,,
country_landing,/countries/italy/,it,Open Graph image country-specific (og-italy.png o Pexels) coerente,delivered_pass4,,pending,,
country_landing,/countries/france/,fr,Status badge "Legal sources under review" + tone warn,delivered_pass1,,pending,,
country_landing,/countries/france/,fr,Riferimenti Mornet 2024 + Loi Badinter + Gazette du Palais 2022 corretti,needs_studio_validation,,pending,,
country_landing,/countries/france/,fr,Disclaimer "no automatic estimate is currently issued",delivered_pass1,,pending,,
country_landing,/countries/france/,fr,CTA "Open France validation wizard" — non promette stima,delivered_pass1,,pending,,
country_landing,/countries/belgium/,fr,Riferimenti Tableau Indicatif 2020/2024 + Tables Schryvers corretti,needs_studio_validation,,pending,,
country_landing,/countries/belgium/,fr,Status badge "Legal sources under review",delivered_pass1,,pending,,
country_landing,/countries/belgium/,fr,Disclaimer "wizard scaffold mode never invents amounts",delivered_pass1,,pending,,
country_landing,/countries/morocco/,fr,Riferimenti Moudawana / Loi 70-03 / Code droits réels / Reg UE 650-2012,needs_studio_validation,,pending,,
country_landing,/countries/morocco/,fr,Status badge "Legal sources under review" — tone warn,delivered_pass1,,pending,,
country_landing,/ar/countries/morocco/,ar,Translation AR del landing Morocco — review nativo giurista,needs_native_review,,pending,blocking before external client,
country_landing,/countries/tunisia/,fr,Riferimenti Code statut personnel / Loi 98-97 / Reg UE 650-2012,needs_studio_validation,,pending,,
country_landing,/countries/tunisia/,fr,Status badge "Legal sources under review",delivered_pass1,,pending,,
country_landing,/countries/tunisia/,fr,Disclaimer "no automatic share calculation is performed yet",delivered_pass1,,pending,,
wizard,/wizard/,it,Wizard start: 5 paesi presentati con badge corretto,delivered_pass1,,pending,,
wizard,/wizard/,it,Copy "Indicative simulation" + spiegazione 3-state,delivered_pass1,,pending,,
wizard_italy,/wizard/it/road-accident/,it,Form fields (age / disability / fault) — label corretti e non fuorvianti,delivered_pass1,,pending,,
wizard_italy,/wizard/it/road-accident/,it,Banner "Important. This wizard is informative…",delivered_pass1,,pending,,
wizard_italy,/wizard/it/road-accident/,it,Consent checkbox (privacy + simulation) required,delivered_pass1,,pending,,
wizard_italy,/wizard/it/road-accident/,it,Disclaimer footer "indicative does not constitute legal advice",delivered_pass1,,pending,,
wizard_italy,/wizard/it/road-accident/,it,Result page (post-submit) mostra range min/mid/max + sources,delivered_pass1,,pending,,
wizard_italy,/wizard/it/road-accident/,it,PDF report scaricabile (Italia 35/10/0 = 26 268 / 27 353 / 28 439 EUR),engine_contract_pass2,,pending,,
wizard_france,/wizard/fr/road-accident/,fr,Banner "Module under legal validation" sopra il form,delivered_pass1,,pending,,
wizard_france,/wizard/fr/road-accident/,fr,POST con consenso non produce mai cifre numeriche,delivered_pass1,,pending,,
wizard_france,/wizard/fr/road-accident/,fr,Copy non promette outcome / non chiede documenti sensibili,delivered_pass1,,pending,,
wizard_belgium,/wizard/be/road-accident/,fr,Banner "Module under legal validation",delivered_pass1,,pending,,
wizard_belgium,/wizard/be/road-accident/,fr,POST con consenso non produce mai cifre numeriche,delivered_pass1,,pending,,
wizard_morocco,/wizard/ma/inheritance/,fr,Wizard inheritance scaffold — input qualitativi,delivered_pass1,,pending,,
wizard_morocco,/wizard/ma/inheritance/,fr,POST non genera mai shares numeriche,delivered_pass1,,pending,,
wizard_morocco,/wizard/ma/inheritance/,ar,Versione AR del wizard MA — review nativo giurista,needs_native_review,,pending,,
wizard_tunisia,/wizard/tn/inheritance/,fr,Wizard inheritance scaffold — input qualitativi,delivered_pass1,,pending,,
wizard_tunisia,/wizard/tn/inheritance/,fr,POST non genera mai shares numeriche,delivered_pass1,,pending,,
contact,/contact/,it,Form fields (first/last/email/phone/lang/country/case_type/message/privacy),delivered_pass1,,pending,,
contact,/contact/,it,Privacy checkbox required + link a /privacy/ e /disclaimer/,delivered_pass1,,pending,,
contact,/contact/,it,Honeypot anti-bot (website field),delivered_pass1,,pending,,
contact,/contact/thank-you/,it,Pagina thank-you "Grazie / La tua richiesta è stata ricevuta",delivered_pass1,,pending,,
contact,/contact/,it,Disclaimer "submitting this form does not create professional engagement",delivered_pass1,,pending,,
contact,/fr/contact/,fr,Versione FR contact form,delivered_pass1,,pending,,
contact,/ar/contact/,ar,Versione AR contact form — review nativo,needs_native_review,,pending,,
privacy,/privacy/,it,Privacy notice — testo informativo (no claim su responsabilità che non abbiamo),needs_studio_validation,,pending,,
privacy,/privacy/,it,Riferimento al Studio come titolare del trattamento,needs_studio_validation,,pending,,
disclaimer,/disclaimer/,it,Disclaimer completo — "non parere legale / non garanzia / dipende da fonti",needs_studio_validation,,pending,,
disclaimer,/disclaimer/,it,Riferimento ai 5 paesi MVP e allo stato fonti,delivered_pass1,,pending,,
cookie,/,it,Cookie banner — "solo tecnici / no analytics / no marketing",delivered_pass1,,pending,,
pexels,/,it,Nessuna attribution Pexels visibile (test pass1+pass2 lo verificano),delivered_pass1,,pending,,
pexels,/countries/italy/,it,Country image: soggetto coerente con tono Studio (Italia),delivered_pass4,,pending,manifest in media/pexels/pexels_manifest.json,
pexels,/countries/france/,fr,Country image: soggetto coerente con tono Studio (Francia),delivered_pass4,,pending,,
pexels,/countries/morocco/,fr,Country image: soggetto coerente con tono Studio (Marocco),delivered_pass4,,pending,,
pexels,/countries/tunisia/,fr,Country image: soggetto coerente con tono Studio (Tunisia),delivered_pass4,,pending,,
pexels,/countries/belgium/,fr,Country image: soggetto coerente con tono Studio (Belgio),delivered_pass4,,pending,,
pexels,license,it,License audit Pexels — uso commerciale OK + cache locale (no remote URL),delivered_pass1,,pending,,
translations,/fr/,fr,Lessico giuridico FR — review native speaker (Mornet / Badinter / Schryvers),needs_native_review,,pending,,
translations,/ar/,ar,Lessico giuridico AR — review native speaker (Moudawana / Code statut personnel),needs_native_review,,pending,blocking before external client,
translations,/fr/methodology/,fr,Methodology FR — coerenza terminologia con landing,delivered_pass1,,pending,,
translations,/ar/methodology/,ar,Methodology AR — RTL + lessico,needs_native_review,,pending,,
legal_tone,/,it,Tono globale: niente "casinò" / promesse di guadagno / claim aggressivi,delivered_pass1,,pending,,
legal_tone,/,fr,Tono globale FR: stesso registro autorevole,delivered_pass1,,pending,,
legal_tone,/,ar,Tono globale AR: stesso registro autorevole — review nativo,needs_native_review,,pending,,
no_claim_under_review,/wizard/fr/road-accident/,fr,Wizard FR non deve sembrare attivo (test pass1 #6 verifica no numero),delivered_pass1,,pending,,
no_claim_under_review,/wizard/be/road-accident/,fr,Wizard BE non deve sembrare attivo,delivered_pass1,,pending,,
no_claim_under_review,/wizard/ma/inheritance/,fr,Wizard MA non deve sembrare attivo,delivered_pass1,,pending,,
no_claim_under_review,/wizard/tn/inheritance/,fr,Wizard TN non deve sembrare attivo,delivered_pass1,,pending,,
no_claim_under_review,/countries/france/,fr,Landing FR copy — "no automatic estimate is currently issued",delivered_pass1,,pending,,
no_claim_under_review,/countries/belgium/,fr,Landing BE copy — "no automatic estimate is currently issued",delivered_pass1,,pending,,
no_claim_under_review,/countries/morocco/,fr,Landing MA copy — "no automatic estimate is currently issued",delivered_pass1,,pending,,
no_claim_under_review,/countries/tunisia/,fr,Landing TN copy — "no automatic estimate is currently issued",delivered_pass1,,pending,,
seo,/sitemap.xml,it,sitemap include i 5 country landing,delivered_pass1,,pending,,
seo,/countries/italy/,it,canonical + hreflang alternates corretti,delivered_pass2,,pending,,
seo,/wizard/it/road-accident/,it,meta robots noindex+nofollow su wizard/contact,delivered_pass2,,pending,,
seo,/methodology/,it,meta description specifica (non default),delivered_pass2,,pending,,
a11y,/,it,Skip-to-content link presente + focus-visible ring uniforme,delivered_pass2,,pending,,
a11y,/countries/,it,Badge contrast AA (text-gold-700 / text-ink-800),delivered_pass2,,pending,,
a11y,/,it,Language switcher accessibile anche su mobile,delivered_pass2,,pending,,
